ID,pred
25318,0.060598157769882185
25319,0.01402018757300646
25320,0.018503870336377688
25321,0.7991746566569642
25322,0.04489685419124779
25323,0.006425345969907312
25324,0.006594225045350278
25325,0.007011731481368948
25326,0.03784971585434033
25327,0.10717958939832152
25328,0.6543506997860322
25329,0.0314488117615246
25330,0.008594378921996493
25331,0.016221634125190572
25332,0.014604720253685763
25333,0.02066812576208515
25334,0.05966104115474149
25335,0.006743890169131682
25336,0.01839121209906784
25337,0.23564335897031483
25338,0.23617808580981733
25339,0.04903046875035844
25340,0.00752957424061829
25341,0.04021324590155387
25342,0.3688431194100847
25343,0.029544568035742735
25344,0.019949556994273424
25345,0.020436095131656708
25346,0.027641768603697686
25347,0.01628062506202432
25348,0.014715396582493672
25349,0.0133767409974623
25350,0.01634080436128016
25351,0.010213396716491093
25352,0.04151726885641862
25353,0.03545198706016958
25354,0.02610042433676388
25355,0.23933604069615483
25356,0.2848710885606778
25357,0.013553238972365258
25358,0.09774410581375728
25359,0.041039252842307916
25360,0.010832391779414148
25361,0.059532301989196894
25362,0.06408527064252159
25363,0.5388853857576847
25364,0.009885893626093252
25365,0.020281581221058855
25366,0.009185975808131585
25367,0.016816663457603673
25368,0.4988038149144247
25369,0.025850718025336193
25370,0.009946666953864397
25371,0.07922947962441279
25372,0.013860332445649996
25373,0.0375787464019324
25374,0.04707103256650786
25375,0.007771191656444479
25376,0.0865913459270671
25377,0.03043370841921213
25378,0.05200397687011773
25379,0.04550401732530817
25380,0.016887420992577742
25381,0.015411835334948163
25382,0.009082563827122444
25383,0.08144164983936163
25384,0.012330177483634257
25385,0.08315679110439653
25386,0.014309412377837323
25387,0.10224037162457106
25388,0.037109415099031776
25389,0.23266681238897008
25390,0.01018009636042586
25391,0.04515060597046121
25392,0.6566163679221141
25393,0.06338623469546975
25394,0.3369258955283095
25395,0.032757893201095546
25396,0.011144573353792278
25397,0.01992873516630581
25398,0.6890863615512227
25399,0.0772332888620878
25400,0.02079145331840749
25401,0.01420578295093425
25402,0.5319690167943465
25403,0.030681219611793913
25404,0.018994336527495465
25405,0.42802426616122013
